tenue_nom,vetement_nom
Look Casual Ete,T-shirt blanc basique
Look Casual Ete,Short en jean
Look Casual Ete,Sandales en cuir
Hiver Classique,Pull en laine beige
Hiver Classique,Jean bleu slim
Hiver Classique,Bottes en cuir marron
Hiver Classique,Manteau long gris
Look Week-end Chic,Chemise en lin bleue
Look Week-end Chic,Pantalon chino beige
Look Week-end Chic,Baskets blanches
Bureau Hiver,Chemise en lin bleue
Bureau Hiver,Pantalon chino beige
Bureau Hiver,Cardigan gris
Bureau Hiver,Bottes en cuir marron
